val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
,,54,20569,0.1867494285106659,0.9308470487594604,,
0.1759365051984787,0.9398364424705505,55,20943,,,,
,,55,20943,0.17992186546325684,0.9351116418838501,,
0.20904138684272766,0.9310747385025024,56,21317,,,,
,,56,21317,0.19049344956874847,0.9305962324142456,,
0.15633945167064667,0.9468457698822021,57,21691,,,,
,,57,21691,0.18386414647102356,0.9315159916877747,,
0.15413454174995422,0.951518714427948,58,22065,,,,
,,58,22065,0.17917068302631378,0.9364495277404785,,
0.17066586017608643,0.9357476830482483,59,22439,,,,
,,59,22439,0.1832340806722641,0.9340245723724365,,
0.14021362364292145,0.9544392228126526,60,22813,,,,
,,60,22813,0.17686016857624054,0.9362822771072388,,
0.18204985558986664,0.9351635575294495,61,23187,,,,
,,61,23187,0.19039380550384521,0.9305126070976257,,
0.20051367580890656,0.9328271150588989,62,23561,,,,
,,62,23561,0.1816161423921585,0.9340245723724365,,
0.1589261293411255,0.947429895401001,63,23935,,,,
,,63,23935,0.18017449975013733,0.9347771406173706,,
0.14516164362430573,0.9491822719573975,64,24309,,,,
,,64,24309,0.17753098905086517,0.9344426989555359,,
0.16614539921283722,0.9386682510375977,65,24683,,,,
,,65,24683,0.1802164912223816,0.9333556294441223,,
0.15052998065948486,0.9421728849411011,66,25057,,,,
,,66,25057,0.171481654047966,0.9361150860786438,,
0.16062110662460327,0.9410046935081482,67,25431,,,,
,,67,25431,0.18660888075828552,0.9332720041275024,,
0.12459345906972885,0.9544392228126526,68,25805,,,,
,,68,25805,0.18553632497787476,0.9329375624656677,,
0.1291276514530182,0.9538551568984985,69,26179,,,,
,,69,26179,0.1812080591917038,0.9345263242721558,,
0.20024915039539337,0.9334112405776978,70,26553,,,,
,,70,26553,0.171746164560318,0.9377038478851318,,
0.15680575370788574,0.9421728849411011,71,26927,,,,
,,71,26927,0.1752217411994934,0.9382891654968262,,
0.16026775538921356,0.9404205679893494,72,27301,,,,
,,72,27301,0.17619936168193817,0.9358642101287842,,
0.13238367438316345,0.952102780342102,73,27675,,,,
,,73,27675,0.17657214403152466,0.9386236071586609,,
0.14294350147247314,0.9462617039680481,74,28049,,,,
,,74,28049,0.17757228016853333,0.9372020959854126,,
0.14405111968517303,0.9462617039680481,75,28423,,,,
,,75,28423,0.17638348042964935,0.9358642101287842,,
0.18226253986358643,0.9375,76,28797,,,,
,,76,28797,0.17976337671279907,0.9329375624656677,,
0.21327906847000122,0.9223130941390991,77,29171,,,,
,,77,29171,0.17234425246715546,0.9388744831085205,,
0.15331441164016724,0.9462617039680481,78,29545,,,,
,,78,29545,0.17656591534614563,0.9342754483222961,,
0.14341971278190613,0.9456775784492493,79,29919,,,,
,,79,29919,0.1691441833972931,0.938372790813446,,
0.1325850635766983,0.9509345889091492,80,30293,,,,
,,80,30293,0.17857414484024048,0.9341918230056763,,
0.12221812456846237,0.9591121673583984,81,30667,,,,
,,81,30667,0.1754370778799057,0.9377874135971069,,
0.14077003300189972,0.9497663378715515,82,31041,,,,
,,82,31041,0.17890742421150208,0.932770311832428,,
0.14276471734046936,0.9538551568984985,83,31415,,,,
,,83,31415,0.17621281743049622,0.9371184706687927,,
0.15616169571876526,0.9468457698822021,84,31789,,,,
,,84,31789,0.17381493747234344,0.938372790813446,,
0.1380022019147873,0.952102780342102,85,32163,,,,
,,85,32163,0.17107874155044556,0.9378710389137268,,
0.1314363181591034,0.9556074738502502,86,32537,,,,
,,86,32537,0.17332735657691956,0.9380382895469666,,
0.15516579151153564,0.9480140209197998,87,32911,,,,
,,87,32911,0.1650523692369461,0.9408813714981079,,
0.14123806357383728,0.9497663378715515,88,33285,,,,
,,88,33285,0.16886214911937714,0.9388744831085205,,
0.17955824732780457,0.9386682510375977,89,33659,,,,
,,89,33659,0.17730215191841125,0.9387072324752808,,
0.14808803796768188,0.9468457698822021,90,34033,,,,
,,90,34033,0.16821660101413727,0.9399615526199341,,
0.13753138482570648,0.952102780342102,91,34407,,,,
,,91,34407,0.16993561387062073,0.9377874135971069,,
0.14477582275867462,0.9538551568984985,92,34781,,,,
,,92,34781,0.16714324057102203,0.9391253590583801,,
0.16422416269779205,0.9439252614974976,93,35155,,,,
,,93,35155,0.1750478893518448,0.9384564161300659,,
0.14342577755451202,0.9497663378715515,94,35529,,,,
,,94,35529,0.17208608984947205,0.9395434260368347,,
0.1447422057390213,0.951518714427948,95,35903,,,,
,,95,35903,0.17680202424526215,0.9366167783737183,,
0.15365929901599884,0.952102780342102,96,36277,,,,
,,96,36277,0.1722254753112793,0.9366167783737183,,
0.15912917256355286,0.9462617039680481,97,36651,,,,
,,97,36651,0.16609357297420502,0.9399615526199341,,
0.15842808783054352,0.9427570104598999,98,37025,,,,
,,98,37025,0.16952019929885864,0.940045177936554,,
0.13252395391464233,0.9532710313796997,99,37399,,,,
,,99,37399,0.1763814091682434,0.9378710389137268,,
0.16366051137447357,0.9439252614974976,100,37773,,,,
,,100,37773,0.17233474552631378,0.9364495277404785,,
0.1541207730770111,0.947429895401001,101,38147,,,,
,,101,38147,0.16597922146320343,0.938372790813446,,
0.12933847308158875,0.9556074738502502,102,38521,,,,
,,102,38521,0.16411465406417847,0.9405468702316284,,
0.143803209066391,0.9509345889091492,103,38895,,,,
,,103,38895,0.17304687201976776,0.9370348453521729,,
0.17872972786426544,0.9456775784492493,104,39269,,,,
,,104,39269,0.16673286259174347,0.939208984375,,
0.16279873251914978,0.9421728849411011,105,39643,,,,
,,105,39643,0.1826276183128357,0.9341918230056763,,
0.14099441468715668,0.951518714427948,106,40017,,,,
,,106,40017,0.1744747906923294,0.9362822771072388,,
0.15625226497650146,0.9427570104598999,107,40391,,,,
,,107,40391,0.17363899946212769,0.9374529719352722,,
0.15735216438770294,0.9480140209197998,108,40765,,,,
,,108,40765,0.16770359873771667,0.9372020959854126,,
0.18450592458248138,0.9351635575294495,109,41139,,,,
,,109,41139,0.1667868196964264,0.939208984375,,
0.15334689617156982,0.9503504633903503,110,41513,,,,
,,110,41513,0.15986977517604828,0.9413830637931824,,
0.15640337765216827,0.9462617039680481,111,41887,,,,
,,111,41887,0.16345134377479553,0.941801130771637,,
0.13195015490055084,0.9567757248878479,112,42261,,,,
,,112,42261,0.16436974704265594,0.9403796195983887,,
0.1525219827890396,0.9468457698822021,113,42635,,,,
,,113,42635,0.17183710634708405,0.938372790813446,,
0.15821510553359985,0.9450934529304504,114,43009,,,,
,,114,43009,0.16824810206890106,0.9381219148635864,,
0.21065735816955566,0.9258177280426025,115,43383,,,,
,,115,43383,0.16660641133785248,0.9380382895469666,,
